date,question,side,raw_price,fill,won,pnl_per_$1,volume
2025-03-21,Pelicans vs Timberwolves,Timberwolves,0.905,0.915,True,0.0929,0
2025-03-21,Hornets vs Thunder,Thunder,0.935,0.9450000000000001,True,0.0582,0
2025-03-22,Wizards vs Knicks,Knicks,0.905,0.915,True,0.0929,0
2025-03-23,Cavaliers vs Jazz,Cavaliers,0.92,0.93,True,0.0753,0
2025-03-25,Mavericks vs Knicks,Knicks,0.91,0.92,True,0.087,0
2025-11-09,Nets vs. Knicks,Knicks,0.905,0.915,True,0.0929,600299
2025-11-13,Wizards vs. Rockets,Rockets,0.915,0.925,True,0.0811,1648532
2025-11-15,Thunder vs. Hornets,Thunder,0.915,0.925,True,0.0811,1717267
2025-11-18,Thunder vs. Pelicans,Thunder,0.945,0.955,True,0.0471,1535652
2025-11-20,Wizards vs. Timberwolves,Timberwolves,0.925,0.935,True,0.0695,727856
2025-11-20,Kings vs. Thunder,Thunder,0.935,0.9450000000000001,True,0.0582,1502868
2025-11-22,Thunder vs. Jazz,Thunder,0.905,0.915,True,0.0929,2319198
2025-11-23,Trail Blazers vs. Thunder,Thunder,0.905,0.915,True,0.0929,948701
2025-12-01,Pelicans vs. Lakers,Lakers,0.915,0.925,True,0.0811,1186930
2025-12-04,Kings vs. Rockets,Rockets,0.905,0.915,True,0.0929,1260504
2025-12-12,Cavaliers vs. Wizards,Cavaliers,0.905,0.915,True,0.0929,1080614
2025-12-18,Clippers vs. Thunder,Thunder,0.9,0.91,True,0.0989,242902
2025-12-18,Wizards vs. Spurs,Spurs,0.905,0.915,True,0.0929,42626
2025-12-19,Clippers vs. Thunder,Thunder,0.905,0.915,True,0.0929,1426244
2025-12-21,Spurs vs. Wizards,Spurs,0.905,0.915,True,0.0929,1610812
2026-01-08,Jazz vs. Thunder,Thunder,0.905,0.915,True,0.0929,3135532
2026-01-31,Spurs vs. Hornets,Hornets,0.95,0.96,True,0.0417,3679345
2026-02-11,Wizards vs. Cavaliers,Cavaliers,0.905,0.915,True,0.0929,2378803
2026-02-21,Nets vs. Thunder,Thunder,0.905,0.915,True,0.0929,3140085
2026-02-22,Kings vs. Spurs,Spurs,0.915,0.925,True,0.0811,3741821
2026-02-28,Nets vs. Celtics,Celtics,0.905,0.915,True,0.0929,3952821
2026-03-02,Thunder vs. Mavericks,Thunder,0.905,0.915,True,0.0929,2367038
2026-03-03,Wizards vs. Magic,Magic,0.905,0.915,True,0.0929,1853610
2026-03-10,Pistons vs. Nets,Pistons,0.905,0.915,True,0.0929,0
2026-03-10,Wizards vs. Heat,Heat,0.905,0.915,True,0.0929,0
2026-03-12,Nets vs. Hawks,Hawks,0.905,0.915,True,0.0929,0
2026-03-13,Grizzlies vs. Pistons,Pistons,0.915,0.925,True,0.0811,0
2026-03-14,Wizards vs. Celtics,Celtics,0.954,0.964,True,0.0373,0
